core_type,tier,bo_iteration,pe_type,array_rows,array_cols,pe_count,fu_alu,fu_mul,fu_fp,fu_mem,spm_kb,area_um2,all_kernels_mapped,avg_ii,assigned_kernels,git_hash,timestamp
ai,tier2,18,spatial_pe,8,8,64,3,2,3,1,32,874884.0,1,7.89,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,19,spatial_pe,9,8,72,3,4,2,1,28,972836.0,1,7.83,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,20,spatial_pe,9,9,81,2,3,1,1,28,1069336.0,1,14.28,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,21,spatial_pe,9,8,72,1,4,2,1,28,968836.0,1,7.83,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,22,spatial_pe,8,8,64,2,4,1,1,36,867932.0,1,14.28,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,23,spatial_pe,8,8,64,3,3,1,1,36,865432.0,1,14.28,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,24,spatial_pe,9,8,72,3,4,0,1,40,962980.0,0,inf,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,25,spatial_pe,8,8,64,4,4,0,2,32,865384.0,0,inf,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,26,spatial_pe,8,9,72,3,2,0,1,40,953980.0,0,inf,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,27,spatial_pe,8,9,72,2,3,2,1,36,970432.0,1,7.83,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,28,spatial_pe,9,9,81,4,3,2,1,40,1087480.0,1,7.83,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,29,spatial_pe,8,8,64,4,3,0,2,32,860884.0,0,inf,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,30,spatial_pe,8,8,64,2,2,2,2,36,870432.0,1,7.72,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,31,spatial_pe,8,8,64,2,2,2,1,36,866932.0,1,7.89,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,32,spatial_pe,9,8,72,3,4,0,1,32,958884.0,0,inf,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,33,spatial_pe,9,8,72,3,4,2,2,36,980432.0,1,7.17,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,34,spatial_pe,8,9,72,2,2,0,1,36,949932.0,0,inf,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,35,spatial_pe,8,8,64,2,3,2,2,36,874932.0,1,7.22,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,36,spatial_pe,9,9,81,2,3,1,1,32,1071384.0,1,14.28,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,37,spatial_pe,8,8,64,2,4,2,2,40,881480.0,1,7.17,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,38,spatial_pe,9,8,72,3,3,0,2,40,961980.0,0,inf,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,39,spatial_pe,9,9,81,2,2,0,2,40,1066480.0,0,inf,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,40,spatial_pe,9,8,72,4,2,1,1,40,963980.0,1,14.28,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,41,spatial_pe,9,8,72,4,2,2,1,36,969932.0,1,7.89,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,42,spatial_pe,8,9,72,4,2,1,1,40,963980.0,1,14.28,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,43,spatial_pe,8,9,72,3,4,1,2,32,970384.0,1,14.28,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,44,spatial_pe,8,8,64,4,2,2,1,32,868884.0,1,7.89,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,45,spatial_pe,9,8,72,4,2,2,1,40,971980.0,1,7.89,18,4d4c308,2026-03-24T07:06:15Z
